Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,20513.015625,20513.015625,19834.201172,19879.431641,19879.431641,24040051438
2022-07-12,19879.349609,20018.130859,19244.058594,19265.537109,19265.537109,25732247343
2022-07-13,19267.589844,20127.437500,18968.603516,20142.341797,20142.341797,32928433961
2022-07-14,20141.736328,20739.707031,19781.679688,20515.224609,20515.224609,31075892235
2022-07-15,20518.453125,20966.388672,20357.714844,20669.638672,20669.638672,25698330756
2022-07-16,20667.431641,21342.289063,20354.748047,21020.792969,21020.792969,24108530424
2022-07-17,21025.480469,21427.835938,20576.527344,20577.681641,20577.681641,22705287763
2022-07-18,20580.222656,22271.199219,20580.222656,22160.568359,22160.568359,39396484620
2022-07-19,22142.988281,23139.166016,21324.611328,22862.421875,22862.421875,47666425150
2022-07-20,22866.095703,23725.611328,22458.470703,22818.695313,22818.695313,42169251336
2022-07-21,22820.138672,22961.906250,22032.906250,22665.824219,22665.824219,32906835618
2022-07-22,22664.966797,23141.558594,22134.257813,22243.416016,22243.416016,30769244151
2022-07-23,22235.585938,22500.203125,21544.017578,21996.937500,21996.937500,23520800525
2022-07-24,21996.968750,22490.054688,21841.609375,22166.929688,22166.929688,23104554215
2022-07-25,22164.958984,22215.074219,20894.015625,20894.072266,20894.072266,34795798682
2022-07-26,20893.505859,20893.505859,20541.041016,20970.222656,20970.222656,28261426744
2022-07-27,20974.580078,22515.351563,20771.896484,22469.162109,22469.162109,31119933295
2022-07-28,22472.193359,23648.152344,22385.816406,23394.453125,23394.453125,39454422891
2022-07-29,23395.753906,23731.828125,23115.078125,23277.884766,23277.884766,35093136683
2022-07-30,23270.242188,24028.837891,23058.718750,23132.742188,23132.742188,27525354526
2022-07-31,23128.697266,23587.878906,22783.910156,22855.736328,22855.736328,23067963939
2022-08-01,22855.562500,22842.218750,22334.984375,22720.060547,22720.060547,25190419169
2022-08-02,22714.441406,22972.824219,22182.369141,22626.390625,22626.390625,27954696457
2022-08-03,22629.527344,23139.238281,22382.734375,22494.580078,22494.580078,25883226996
2022-08-04,22496.259766,22800.652344,21947.751953,22084.509766,22084.509766,24513676701
2022-08-05,22080.486328,22891.902344,22081.130859,22861.046875,22861.046875,28350151755
2022-08-06,22863.117188,22897.609375,22539.021484,22539.021484,22539.021484,15684419685
2022-08-07,22541.207031,22955.015625,22473.525391,22783.662109,22783.662109,15617948551
2022-08-08,22787.236328,23732.878906,22792.974609,23347.226563,23347.226563,28020750644
2022-08-09,23349.183594,23441.267578,22445.599609,22691.765625,22691.765625,23075182547
